date,weekday,open,close,high,low,openNow,openNowFake,openForward,OpenM1
2022-09-16,(週五),1.1467,1.1422,1.1480,1.1350,1.1429,1.1534,,1.1429
2022-09-19,(週一),1.1429,1.1424,1.1442,1.1355,1.1428,1.1467,,1.1428
2022-09-20,(週二),1.1428,1.1369,1.1461,1.1349,1.1376,1.1429,,1.1376
2022-09-21,(週三),1.1376,1.1261,1.1385,1.1235,1.1271,1.1428,,1.1271
2022-09-22,(週四),1.1271,1.1252,1.1364,1.1212,1.1255,1.1376,,1.1255
2022-09-23,(週五),1.1255,1.0846,1.1274,1.0795,1.0845,1.1271,,1.0845
2022-09-26,(週一),1.0845,1.0680,1.0930,1.0285,1.0683,1.1255,,1.0683
2022-09-27,(週二),1.0683,1.0726,1.0838,1.0649,1.0729,1.0845,,1.0729
2022-09-28,(週三),1.0729,1.0878,1.0916,1.0539,1.0883,1.0683,,1.0883
2022-09-29,(週四),1.0883,1.1115,1.1119,1.0762,1.1117,1.0729,,1.1117
2022-09-30,(週五),1.1117,1.1152,1.1234,1.1025,1.1155,1.0883,,1.1155
2022-10-03,(週一),1.1155,1.1318,1.1334,1.1085,1.1315,1.1117,,1.1315
2022-10-04,(週二),1.1315,1.1454,1.1490,1.1281,1.1468,1.1155,,1.1468
2022-10-05,(週三),1.1468,1.1307,1.1496,1.1227,1.1311,1.1315,,1.1311
2022-10-06,(週四),1.1311,1.1130,1.1383,1.1112,1.1151,1.1468,,1.1151
2022-10-07,(週五),1.1151,1.1085,1.1225,1.1055,1.1070,1.1311,,1.1070
2022-10-10,(週一),1.1070,1.1054,1.1111,1.1019,1.1052,1.1151,,1.1052
2022-10-11,(週二),1.1052,1.0962,1.1180,1.0953,1.0972,1.1070,,1.0972
2022-10-12,(週三),1.0972,1.1080,1.1134,1.0924,1.1094,1.1052,,1.1094
2022-10-13,(週四),1.1094,1.1315,1.1381,1.1057,1.1315,1.0972,,1.1315
2022-10-14,(週五),1.1315,1.1176,1.1367,1.1152,1.1236,1.1094,,1.1236
2022-10-17,(週一),1.1236,1.1340,1.1440,1.1215,1.1352,1.1315,,1.1352
2022-10-18,(週二),1.1352,1.1306,1.1410,1.1256,1.1319,1.1236,,1.1319
2022-10-19,(週三),1.1319,1.1210,1.1357,1.1185,1.1211,1.1352,,1.1211
2022-10-20,(週四),1.1211,1.1214,1.1336,1.1171,1.1230,1.1319,,1.1230
2022-10-21,(週五),1.1230,1.1292,1.1315,1.1060,1.1333,1.1211,,1.1333
2022-10-24,(週一),1.1333,1.1271,1.1389,1.1258,1.1275,1.1230,,1.1275
2022-10-25,(週二),1.1275,1.1462,1.1499,1.1271,1.1466,1.1333,,1.1466
2022-10-26,(週三),1.1466,1.1593,1.1638,1.1430,1.1629,1.1275,,1.1629
2022-10-27,(週四),1.1629,1.1548,1.1646,1.1548,1.1562,1.1466,,1.1562
2022-10-28,(週五),1.1562,1.1615,1.1623,1.1504,1.1600,1.1629,,1.1600
2022-10-31,(週一),1.1600,1.1460,1.1613,1.1435,1.1466,1.1562,,1.1466
2022-11-01,(週二),1.1466,1.1478,1.1566,1.1437,1.1482,1.1600,,1.1482
2022-11-02,(週三),1.1482,1.1390,1.1565,1.1370,1.1389,1.1466,,1.1389
2022-11-03,(週四),1.1389,1.1153,1.1422,1.1139,1.1154,1.1482,,1.1154
